prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2007-05-08,05:56,8.0,5.517,102.95,42,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Merang, Terengganu, Malaysia; SQM true dawn (a6); Do=14.595; back-calc=14.595"
fajr,2007-11-10,06:01,8.0,4.183,102.05,75,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Kuala Lipis, Pahang, Malaysia; SQM true dawn (a6); Do=14.079; back-calc=14.079"
fajr,2007-12-29,06:17,8.0,4.183,102.05,75,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Kuala Lipis, Pahang, Malaysia; SQM true dawn (a6); Do=14.595; back-calc=14.595"
fajr,2008-01-11,06:26,8.0,4.183,102.05,75,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Kuala Lipis, Pahang, Malaysia; SQM true dawn (a6); Do=13.864; back-calc=13.864"
fajr,2008-02-09,06:34,8.0,4.183,102.05,75,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Kuala Lipis, Pahang, Malaysia; SQM true dawn (a6); Do=13.419; back-calc=13.419"
fajr,2008-03-22,06:22,8.0,4.183,102.05,75,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Kuala Lipis, Pahang, Malaysia; SQM true dawn (a6); Do=13.970; back-calc=13.970"
fajr,2008-03-23,06:22,8.0,4.183,102.05,75,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Kuala Lipis, Pahang, Malaysia; SQM true dawn (a6); Do=13.970; back-calc=13.970"
fajr,2008-04-07,06:14,8.0,3.0,101.4,46,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Port Klang, Selangor, Malaysia; SQM true dawn (a6); Do=15.065; back-calc=15.065"
isha,2007-06-15,20:19,8.0,2.467,101.867,27,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Teluk Kemang, Negeri Sembilan, Malaysia; SQM true dusk Shafaq Abyad (a1); Do=14.213; back-calc=14.213"
isha,2007-08-13,20:20,8.0,2.467,101.867,27,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Teluk Kemang, Negeri Sembilan, Malaysia; SQM true dusk Shafaq Abyad (a1); Do=14.690; back-calc=14.690"
isha,2007-09-04,20:05,8.0,3.15,101.683,60,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Kuala Lumpur, Federal Territory, Malaysia; SQM true dusk Shafaq Abyad (a1); Do=12.850; back-calc=12.850"
isha,2007-10-27,19:57,8.0,3.15,101.683,60,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Kuala Lumpur, Federal Territory, Malaysia; SQM true dusk Shafaq Abyad (a1); Do=15.340; back-calc=15.340"
isha,2007-11-05,19:50,8.0,4.183,102.05,75,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Kuala Lipis, Pahang, Malaysia; SQM true dusk Shafaq Abyad (a1); Do=14.420; back-calc=14.420"
isha,2007-12-29,20:05,8.0,4.183,102.05,75,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Kuala Lipis, Pahang, Malaysia; SQM true dusk Shafaq Abyad (a1); Do=13.600; back-calc=13.600"
isha,2008-01-12,20:14,8.0,4.183,102.05,75,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Kuala Lipis, Pahang, Malaysia; SQM true dusk Shafaq Abyad (a1); Do=14.330; back-calc=14.330"
isha,2008-02-09,20:15,8.0,4.183,102.05,75,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Kuala Lipis, Pahang, Malaysia; SQM true dusk Shafaq Abyad (a1); Do=13.003; back-calc=13.003"
isha,2008-03-22,20:18,8.0,4.183,102.05,75,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Kuala Lipis, Pahang, Malaysia; SQM true dusk Shafaq Abyad (a1); Do=14.938; back-calc=14.938"
isha,2008-03-23,20:18,8.0,4.183,102.05,75,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Kuala Lipis, Pahang, Malaysia; SQM true dusk Shafaq Abyad (a1); Do=14.938; back-calc=14.938"
isha,2008-04-05,20:14,8.0,3.0,101.4,46,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Port Klang, Selangor, Malaysia; SQM true dusk Shafaq Abyad (a1); Do=13.970; back-calc=13.970"
isha,2008-04-06,20:18,8.0,3.0,101.4,46,"Abdel-Hadi & Hassan 2022, IJAA doi:10.4236/ijaa.2022.121002, Malaysia SQM 4-site study","Port Klang, Selangor, Malaysia; SQM true dusk Shafaq Abyad (a1); Do=14.938; back-calc=14.938"
