prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2009-09-18,05:04,3.0,31.633,36.0,750,"Abed 2015, Jordan J Islamic Studies 11(2), East Ariniyba 40km S Amman","naked eye group observation; adhan at 05:00; first fajr appearance 05:04 by some observers; confirmed (tayakkun) 05:07; desert site E of village; diff from adhan=4min"
fajr,2009-10-02,05:17,3.0,31.37,36.3,700,"Abed 2015, Jordan J Islamic Studies 11(2), East Sijn Sawaqa 75km S Amman","naked eye group observation; adhan at 05:10; first fajr appearance 05:17 by some; confirmed 05:25; 17km E of Sawaqa; diff=7min"
fajr,2009-10-17,05:25,3.0,31.37,36.3,700,"Abed 2015, Jordan J Islamic Studies 11(2), East Sijn Sawaqa 75km S Amman","naked eye group observation; adhan at 05:19; first fajr appearance 05:25 by some; confirmed 05:27; diff=6min"
fajr,2009-10-30,04:37,3.0,31.633,36.0,750,"Abed 2015, Jordan J Islamic Studies 11(2), East Ariniyba 40km S Amman","naked eye group observation; CLOUDY; adhan at 04:28; fajr appearance 04:37; diff=9min; clouds delayed observation"
fajr,2009-12-25,05:11,2.0,31.633,36.0,750,"Abed 2015, Jordan J Islamic Studies 11(2), East Ariniyba 40km S Amman","naked eye group observation; adhan at 05:07; first fajr appearance 05:11; confirmed 05:12; diff=4min; winter clear; EET+2"
fajr,2010-01-22,05:16,2.0,31.633,36.0,750,"Abed 2015, Jordan J Islamic Studies 11(2), East Ariniyba 40km S Amman","naked eye group observation; adhan at 05:11; first fajr appearance 05:16; confirmed 05:18; diff=5min; EET+2"
fajr,2010-02-19,04:53,2.0,31.633,36.0,750,"Abed 2015, Jordan J Islamic Studies 11(2), East Ariniyba 40km S Amman","naked eye group observation; adhan at 04:59 (officially); first fajr appearance 04:53; confirmed 05:00.5; diff=6min; note: fajr appeared BEFORE adhan; EET+2"
fajr,2010-06-18,03:54,3.0,31.633,36.0,750,"Abed 2015, Jordan J Islamic Studies 11(2), East Ariniyba 40km S Amman","naked eye group observation; adhan at 03:49; first fajr appearance 03:54; confirmed 04:04; diff=5min; summer"
fajr,2010-07-16,04:10,3.0,31.633,36.0,750,"Abed 2015, Jordan J Islamic Studies 11(2), East Ariniyba 40km S Amman","naked eye group observation; adhan at 04:05; first fajr appearance 04:10; confirmed 04:15; diff=5min"
fajr,2010-09-17,05:06,3.0,31.633,36.0,750,"Abed 2015, Jordan J Islamic Studies 11(2), East Ariniyba 40km S Amman","naked eye group observation; adhan at 04:59; first fajr appearance 05:06; confirmed 05:07; diff=7min; 8 Shawwal 1431"
