prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2018-04-14,04:29,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM observation; station GRT; Garut West Java Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-04-15,04:28,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM observation; station GRT; Garut West Java Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-04-27,04:24,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM observation; station GRT; Garut West Java Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-06-21,05:00,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM observation; station GRT; Garut West Java Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-06-24,04:57,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM observation; station GRT; Garut West Java Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-07-12,05:16,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM observation; station GRT; Garut West Java Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-10-07,04:07,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM observation; station GRT; Garut West Java Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-11-13,04:00,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM observation; station GRT; Garut West Java Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-04-14,04:08,7.0,-7.568,112.674,10,BRIN multistation SQM 2018 (PSR),Per-night SQM observation; station PSR; Pasuruan East Java Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-05-14,04:03,7.0,-7.568,112.674,10,BRIN multistation SQM 2018 (PSR),Per-night SQM observation; station PSR; Pasuruan East Java Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-06-12,04:07,7.0,-7.568,112.674,10,BRIN multistation SQM 2018 (PSR),Per-night SQM observation; station PSR; Pasuruan East Java Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-05-14,04:57,7.0,-6.913,107.837,10,BRIN multistation SQM 2018 (SMD),Per-night SQM observation; station SMD; Subang West Java Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-07-12,04:45,7.0,-6.913,107.837,10,BRIN multistation SQM 2018 (SMD),Per-night SQM observation; station SMD; Subang West Java Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-09-08,04:27,7.0,-6.913,107.837,10,BRIN multistation SQM 2018 (SMD),Per-night SQM observation; station SMD; Subang West Java Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-11-06,04:25,7.0,-6.913,107.837,10,BRIN multistation SQM 2018 (SMD),Per-night SQM observation; station SMD; Subang West Java Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-12-19,04:01,7.0,-6.913,107.837,10,BRIN multistation SQM 2018 (SMD),Per-night SQM observation; station SMD; Subang West Java Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-04-14,04:28,9.0,-1.174,136.101,10,BRIN multistation SQM 2018 (BIK),Per-night SQM observation; station BIK; Biak Papua Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-04-14,05:05,7.0,-0.204,100.32,850,BRIN multistation SQM 2018 (AGM),Per-night SQM observation; station AGM; Agam West Sumatra Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-10-15,05:20,7.0,-0.204,100.32,850,BRIN multistation SQM 2018 (AGM),Per-night SQM observation; station AGM; Agam West Sumatra Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-10-22,05:17,7.0,-0.204,100.32,850,BRIN multistation SQM 2018 (AGM),Per-night SQM observation; station AGM; Agam West Sumatra Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-11-17,05:21,7.0,-0.204,100.32,850,BRIN multistation SQM 2018 (AGM),Per-night SQM observation; station AGM; Agam West Sumatra Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-04-28,04:17,7.0,-0.008,109.365,10,BRIN multistation SQM 2018 (PTK),Per-night SQM observation; station PTK; Pontianak West Kalimantan Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-06-12,04:23,9.0,1.1774,136.101,10,BRIN multistation SQM 2018 (BIK),Per-night SQM observation; station BIK; Biak Papua Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-06-17,04:51,9.0,1.1774,136.101,10,BRIN multistation SQM 2018 (BIK),Per-night SQM observation; station BIK; Biak Papua Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
