prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
isha,2018-04-11,18:35,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=20.53 mag/arcsec²; threshold=20.03; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-04-13,18:38,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=20.90 mag/arcsec²; threshold=20.40; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-04-14,18:56,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=20.88 mag/arcsec²; threshold=20.38; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-04-15,18:45,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=21.00 mag/arcsec²; threshold=20.50; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-04-16,18:33,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=20.41 mag/arcsec²; threshold=19.91; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-04-17,18:40,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=21.02 mag/arcsec²; threshold=20.52; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-05-09,18:37,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=21.22 mag/arcsec²; threshold=20.72; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-05-10,18:38,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=21.01 mag/arcsec²; threshold=20.51; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-05-14,18:33,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=20.98 mag/arcsec²; threshold=20.48; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-05-15,18:35,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=20.80 mag/arcsec²; threshold=20.30; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-05-17,19:07,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=21.01 mag/arcsec²; threshold=20.51; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-06-02,18:30,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=20.34 mag/arcsec²; threshold=19.84; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-06-03,18:36,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=20.68 mag/arcsec²; threshold=20.18; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-06-04,18:29,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=20.02 mag/arcsec²; threshold=19.52; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-06-05,18:49,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=20.53 mag/arcsec²; threshold=20.03; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-06-06,18:37,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=20.35 mag/arcsec²; threshold=19.85; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-06-07,18:37,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=20.11 mag/arcsec²; threshold=19.61; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-06-08,18:56,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=20.77 mag/arcsec²; threshold=20.27; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-06-09,18:32,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=20.57 mag/arcsec²; threshold=20.07; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-06-10,18:37,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=21.09 mag/arcsec²; threshold=20.59; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-06-11,18:28,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=20.17 mag/arcsec²; threshold=19.67; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-06-12,18:33,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=21.01 mag/arcsec²; threshold=20.51; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-06-13,18:28,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=20.10 mag/arcsec²; threshold=19.60; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-06-15,18:53,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=21.14 mag/arcsec²; threshold=20.64; Damanhuri & Mukarram LAPAN 2022 dataset
isha,2018-07-01,18:35,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM Isha observation; station GRT; Garut West Java Indonesia; MPSAS-threshold Isha detection (Shafaq Abyad); moonless nights only; dark-sky baseline=20.59 mag/arcsec²; threshold=20.09; Damanhuri & Mukarram LAPAN 2022 dataset
