prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
isha,2015-01-01,19:05:00,1,42.1,-7.0667,900,Galicia_SQM_Network_Zenodo4977265,"station=Xares,sqm_msas=17.87,solar_dep=10.49deg,inflection_method"
isha,2015-01-01,19:11:00,1,42.1,-8.6167,400,Galicia_SQM_Network_Zenodo4977265,"station=Paramos,sqm_msas=17.88,solar_dep=10.45deg,inflection_method"
isha,2015-01-01,19:11:00,1,42.2303,-8.9017,52,Galicia_SQM_Network_Zenodo4977265,"station=Islas_Cies,sqm_msas=17.45,solar_dep=10.31deg,inflection_method"
isha,2015-01-01,19:04:00,1,42.2375,-7.2803,1453,Galicia_SQM_Network_Zenodo4977265,"station=Manzaneda,sqm_msas=17.55,solar_dep=10.22deg,inflection_method"
isha,2015-01-01,19:10:00,1,42.2667,-8.75,50,Galicia_SQM_Network_Zenodo4977265,"station=Portoi_Vigo,sqm_msas=16.97,solar_dep=10.25deg,inflection_method"
isha,2015-01-01,19:11:00,1,42.3833,-8.9333,40,Galicia_SQM_Network_Zenodo4977265,"station=Isla_Ons,sqm_msas=17.46,solar_dep=10.34deg,inflection_method"
isha,2015-01-01,19:06:00,1,42.4528,-7.6853,1498,Galicia_SQM_Network_Zenodo4977265,"station=Areeiro,sqm_msas=16.95,solar_dep=10.37deg,inflection_method"
isha,2015-01-01,19:02:00,1,42.7075,-7.0369,1300,Galicia_SQM_Network_Zenodo4977265,"station=O_Cebreiro,sqm_msas=17.76,solar_dep=10.22deg,inflection_method"
isha,2015-01-01,19:06:00,1,42.7561,-7.8578,1119,Galicia_SQM_Network_Zenodo4977265,"station=Lardeira,sqm_msas=18.23,solar_dep=10.36deg,inflection_method"
isha,2015-01-01,19:08:00,1,42.8728,-8.5453,370,Galicia_SQM_Network_Zenodo4977265,"station=Santiago,sqm_msas=17.35,solar_dep=10.28deg,inflection_method"
isha,2015-01-01,19:05:00,1,43.2742,-8.1747,216,Galicia_SQM_Network_Zenodo4977265,"station=Guisamo,sqm_msas=17.31,solar_dep=10.17deg,inflection_method"
