prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
isha,2025-04-02,19:19,-3,-34.6037,-58.3816,25.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AHO (Almendra HackLab, Buenos Aires, Argentina); photometric inflection method; night median MSAS=17.71; MSAS at inflection=15.24; depression=7.69°; smoothing=5-pt median; dark rows=1304"
isha,2025-04-02,19:20,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.94; MSAS at inflection=18.03; depression=10.54°; smoothing=5-pt median; dark rows=1231"
fajr,2025-04-03,05:33,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.94; MSAS at inflection=17.90; depression=10.12°; smoothing=5-pt median; dark rows=1231"
fajr,2025-04-04,05:32,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.91; MSAS at inflection=17.99; depression=10.13°; smoothing=5-pt median; dark rows=1227"
isha,2025-04-04,19:08,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=20.48; MSAS at inflection=18.13; depression=7.60°; smoothing=5-pt median; dark rows=1226"
fajr,2025-04-05,05:28,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=20.48; MSAS at inflection=20.19; depression=10.71°; smoothing=5-pt median; dark rows=1226"
isha,2025-04-05,20:02,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.52; MSAS at inflection=18.52; depression=19.59°; smoothing=5-pt median; dark rows=1220"
fajr,2025-04-06,05:28,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.52; MSAS at inflection=18.45; depression=10.49°; smoothing=5-pt median; dark rows=1220"
fajr,2025-04-07,05:32,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.66; MSAS at inflection=17.09; depression=9.36°; smoothing=5-pt median; dark rows=1220"
isha,2025-04-08,19:36,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=17.80; MSAS at inflection=17.39; depression=13.47°; smoothing=5-pt median; dark rows=1214"
fajr,2025-04-09,05:30,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=17.80; MSAS at inflection=17.39; depression=9.50°; smoothing=5-pt median; dark rows=1214"
isha,2025-04-11,19:20,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=17.69; MSAS at inflection=17.34; depression=9.70°; smoothing=5-pt median; dark rows=1196"
fajr,2025-04-12,05:38,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=17.69; MSAS at inflection=16.34; depression=7.01°; smoothing=5-pt median; dark rows=1196"
isha,2025-04-15,19:15,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.47; MSAS at inflection=16.67; depression=8.19°; smoothing=5-pt median; dark rows=1196"
fajr,2025-04-16,05:30,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.47; MSAS at inflection=15.97; depression=8.03°; smoothing=5-pt median; dark rows=1196"
fajr,2025-04-17,05:28,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.62; MSAS at inflection=16.43; depression=8.30°; smoothing=5-pt median; dark rows=1166"
fajr,2025-04-01,05:55,2,51.1953,6.4578,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BO (Bettrath Observatory, Mönchengladbach, Germany); photometric inflection method; night median MSAS=20.53; MSAS at inflection=19.86; depression=12.01°; smoothing=5-pt median; dark rows=236"
isha,2025-04-01,21:22,2,51.1953,6.4578,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BO (Bettrath Observatory, Mönchengladbach, Germany); photometric inflection method; night median MSAS=20.43; MSAS at inflection=19.60; depression=12.05°; smoothing=5-pt median; dark rows=511"
fajr,2025-04-02,05:52,2,51.1953,6.4578,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BO (Bettrath Observatory, Mönchengladbach, Germany); photometric inflection method; night median MSAS=20.43; MSAS at inflection=19.80; depression=12.08°; smoothing=5-pt median; dark rows=511"
isha,2025-04-02,21:37,2,51.1953,6.4578,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BO (Bettrath Observatory, Mönchengladbach, Germany); photometric inflection method; night median MSAS=20.07; MSAS at inflection=19.82; depression=13.90°; smoothing=5-pt median; dark rows=506"
fajr,2025-04-03,04:34,2,51.1953,6.4578,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BO (Bettrath Observatory, Mönchengladbach, Germany); photometric inflection method; night median MSAS=20.07; MSAS at inflection=19.50; depression=21.98°; smoothing=5-pt median; dark rows=506"
isha,2025-04-03,21:36,2,51.1953,6.4578,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BO (Bettrath Observatory, Mönchengladbach, Germany); photometric inflection method; night median MSAS=20.35; MSAS at inflection=19.76; depression=13.49°; smoothing=5-pt median; dark rows=502"
fajr,2025-04-04,04:36,2,51.1953,6.4578,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BO (Bettrath Observatory, Mönchengladbach, Germany); photometric inflection method; night median MSAS=20.35; MSAS at inflection=20.50; depression=21.36°; smoothing=5-pt median; dark rows=502"
isha,2025-04-04,21:31,2,51.1953,6.4578,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BO (Bettrath Observatory, Mönchengladbach, Germany); photometric inflection method; night median MSAS=20.18; MSAS at inflection=18.89; depression=12.53°; smoothing=5-pt median; dark rows=497"
fajr,2025-04-05,04:54,2,51.1953,6.4578,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BO (Bettrath Observatory, Mönchengladbach, Germany); photometric inflection method; night median MSAS=20.18; MSAS at inflection=20.49; depression=18.80°; smoothing=5-pt median; dark rows=497"
