prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2022-08-03,05:19,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.20; MSAS at inflection=16.89; depression=8.63°; smoothing=5-pt median; dark rows=1134"
isha,2022-08-04,19:48,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.75; MSAS at inflection=17.75; depression=10.86°; smoothing=5-pt median; dark rows=1139"
fajr,2022-08-05,04:18,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.75; MSAS at inflection=20.76; depression=21.47°; smoothing=5-pt median; dark rows=1139"
isha,2022-08-02,22:05,-4,38.8816,-77.091,55.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Arl (Arlington, Virginia, USA); photometric inflection method; night median MSAS=18.17; MSAS at inflection=17.99; depression=18.37°; smoothing=5-pt median; dark rows=973"
isha,2022-08-09,22:12,-4,38.8816,-77.091,55.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Arl (Arlington, Virginia, USA); photometric inflection method; night median MSAS=17.62; MSAS at inflection=17.20; depression=20.99°; smoothing=5-pt median; dark rows=1006"
isha,2022-08-12,21:06,-4,38.8816,-77.091,55.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Arl (Arlington, Virginia, USA); photometric inflection method; night median MSAS=17.88; MSAS at inflection=17.78; depression=11.30°; smoothing=5-pt median; dark rows=1021"
fajr,2022-08-26,05:32,-4,38.8816,-77.091,55.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Arl (Arlington, Virginia, USA); photometric inflection method; night median MSAS=18.15; MSAS at inflection=17.98; depression=11.81°; smoothing=5-pt median; dark rows=1088"
fajr,2022-08-30,05:52,-4,38.8816,-77.091,55.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Arl (Arlington, Virginia, USA); photometric inflection method; night median MSAS=18.22; MSAS at inflection=16.24; depression=8.84°; smoothing=5-pt median; dark rows=1109"
isha,2022-08-30,21:02,-4,38.8816,-77.091,55.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Arl (Arlington, Virginia, USA); photometric inflection method; night median MSAS=18.31; MSAS at inflection=17.29; depression=15.79°; smoothing=5-pt median; dark rows=1114"
fajr,2022-08-14,04:29,-5,35.95,-92.5833,220.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BMCO (Big Music Creek, Arkansas, USA); photometric inflection method; night median MSAS=18.36; MSAS at inflection=18.31; depression=21.97°; smoothing=5-pt median; dark rows=434"
isha,2022-08-14,21:51,-5,35.95,-92.5833,220.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BMCO (Big Music Creek, Arkansas, USA); photometric inflection method; night median MSAS=19.17; MSAS at inflection=21.57; depression=20.69°; smoothing=5-pt median; dark rows=437"
