prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2022-01-04,04:11,-3,-34.6037,-58.3816,25.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AHO (Almendra HackLab, Buenos Aires, Argentina); photometric inflection method; night median MSAS=17.54; MSAS at inflection=15.81; depression=16.59°; smoothing=5-pt median; dark rows=942"
fajr,2022-01-07,05:09,-3,-34.6037,-58.3816,25.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AHO (Almendra HackLab, Buenos Aires, Argentina); photometric inflection method; night median MSAS=17.70; MSAS at inflection=15.29; depression=7.78°; smoothing=5-pt median; dark rows=947"
fajr,2022-01-04,05:34,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=20.30; MSAS at inflection=20.36; depression=19.99°; smoothing=5-pt median; dark rows=1412"
isha,2022-01-05,18:55,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=20.21; MSAS at inflection=19.12; depression=14.28°; smoothing=5-pt median; dark rows=1409"
fajr,2022-01-13,06:20,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.53; MSAS at inflection=19.73; depression=10.37°; smoothing=5-pt median; dark rows=1405"
isha,2022-01-13,19:04,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=17.91; MSAS at inflection=17.21; depression=15.13°; smoothing=5-pt median; dark rows=1403"
isha,2022-01-17,19:35,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=17.63; MSAS at inflection=17.79; depression=21.58°; smoothing=5-pt median; dark rows=1399"
isha,2022-01-19,18:35,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=17.63; MSAS at inflection=15.92; depression=7.89°; smoothing=5-pt median; dark rows=1396"
fajr,2022-01-21,06:19,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=17.81; MSAS at inflection=17.69; depression=10.67°; smoothing=5-pt median; dark rows=1395"
isha,2022-01-22,19:00,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.74; MSAS at inflection=19.55; depression=13.20°; smoothing=5-pt median; dark rows=1389"
fajr,2022-01-23,06:17,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.74; MSAS at inflection=18.16; depression=10.97°; smoothing=5-pt median; dark rows=1389"
fajr,2022-01-24,06:23,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.63; MSAS at inflection=17.34; depression=9.73°; smoothing=5-pt median; dark rows=1390"
isha,2022-01-26,18:49,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=20.12; MSAS at inflection=17.86; depression=10.20°; smoothing=5-pt median; dark rows=1376"
fajr,2022-02-01,05:50,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=20.23; MSAS at inflection=20.41; depression=16.69°; smoothing=5-pt median; dark rows=1377"
isha,2022-01-02,18:18,9,37.456,126.9522,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station CEOU (Seoul National University, Korea); photometric inflection method; night median MSAS=17.95; MSAS at inflection=17.07; depression=10.34°; smoothing=5-pt median; dark rows=140"
isha,2022-01-04,18:12,9,37.456,126.9522,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station CEOU (Seoul National University, Korea); photometric inflection method; night median MSAS=17.81; MSAS at inflection=16.47; depression=9.03°; smoothing=5-pt median; dark rows=135"
fajr,2022-01-06,06:54,9,37.456,126.9522,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station CEOU (Seoul National University, Korea); photometric inflection method; night median MSAS=18.07; MSAS at inflection=17.48; depression=10.40°; smoothing=5-pt median; dark rows=146"
isha,2022-01-06,18:32,9,37.456,126.9522,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station CEOU (Seoul National University, Korea); photometric inflection method; night median MSAS=17.96; MSAS at inflection=17.19; depression=12.35°; smoothing=5-pt median; dark rows=145"
fajr,2022-01-07,07:05,9,37.456,126.9522,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station CEOU (Seoul National University, Korea); photometric inflection method; night median MSAS=17.96; MSAS at inflection=16.06; depression=8.29°; smoothing=5-pt median; dark rows=145"
fajr,2022-01-08,05:53,9,37.456,126.9522,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station CEOU (Seoul National University, Korea); photometric inflection method; night median MSAS=17.89; MSAS at inflection=17.95; depression=21.95°; smoothing=5-pt median; dark rows=125"
isha,2022-01-09,18:19,9,37.456,126.9522,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station CEOU (Seoul National University, Korea); photometric inflection method; night median MSAS=17.66; MSAS at inflection=16.60; depression=9.55°; smoothing=5-pt median; dark rows=141"
fajr,2022-01-10,05:57,9,37.456,126.9522,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station CEOU (Seoul National University, Korea); photometric inflection method; night median MSAS=17.66; MSAS at inflection=18.07; depression=21.19°; smoothing=5-pt median; dark rows=141"
isha,2022-01-11,18:20,9,37.456,126.9522,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station CEOU (Seoul National University, Korea); photometric inflection method; night median MSAS=17.87; MSAS at inflection=16.10; depression=9.40°; smoothing=5-pt median; dark rows=134"
fajr,2022-01-12,06:57,9,37.456,126.9522,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station CEOU (Seoul National University, Korea); photometric inflection method; night median MSAS=17.87; MSAS at inflection=17.10; depression=9.82°; smoothing=5-pt median; dark rows=134"
isha,2022-01-13,18:16,9,37.456,126.9522,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station CEOU (Seoul National University, Korea); photometric inflection method; night median MSAS=17.62; MSAS at inflection=15.73; depression=8.22°; smoothing=5-pt median; dark rows=149"
fajr,2022-01-14,06:37,9,37.456,126.9522,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station CEOU (Seoul National University, Korea); photometric inflection method; night median MSAS=17.62; MSAS at inflection=17.92; depression=13.54°; smoothing=5-pt median; dark rows=149"
fajr,2022-01-29,06:39,9,37.456,126.9522,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station CEOU (Seoul National University, Korea); photometric inflection method; night median MSAS=17.75; MSAS at inflection=17.95; depression=12.02°; smoothing=5-pt median; dark rows=173"
isha,2022-01-29,18:34,9,37.456,126.9522,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station CEOU (Seoul National University, Korea); photometric inflection method; night median MSAS=17.98; MSAS at inflection=16.30; depression=8.72°; smoothing=5-pt median; dark rows=151"
isha,2022-01-30,18:34,9,37.456,126.9522,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station CEOU (Seoul National University, Korea); photometric inflection method; night median MSAS=18.16; MSAS at inflection=16.12; depression=8.43°; smoothing=5-pt median; dark rows=132"
isha,2022-01-01,19:10,8,22.2083,114.2569,40.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Cap (Cape D'Aguilar, Hong Kong); photometric inflection method; night median MSAS=19.91; MSAS at inflection=19.47; depression=18.14°; smoothing=5-pt median; dark rows=1412"
isha,2022-01-02,18:55,8,22.2083,114.2569,40.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Cap (Cape D'Aguilar, Hong Kong); photometric inflection method; night median MSAS=19.43; MSAS at inflection=19.39; depression=14.62°; smoothing=5-pt median; dark rows=1412"
fajr,2022-01-13,06:35,8,22.2083,114.2569,40.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Cap (Cape D'Aguilar, Hong Kong); photometric inflection method; night median MSAS=18.11; MSAS at inflection=15.83; depression=7.04°; smoothing=5-pt median; dark rows=1404"
fajr,2022-01-22,06:15,8,22.2083,114.2569,40.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Cap (Cape D'Aguilar, Hong Kong); photometric inflection method; night median MSAS=17.63; MSAS at inflection=17.14; depression=11.56°; smoothing=5-pt median; dark rows=1393"
isha,2022-01-22,19:01,8,22.2083,114.2569,40.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Cap (Cape D'Aguilar, Hong Kong); photometric inflection method; night median MSAS=18.21; MSAS at inflection=18.54; depression=13.32°; smoothing=5-pt median; dark rows=1390"
isha,2022-01-27,19:08,8,22.2083,114.2569,40.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Cap (Cape D'Aguilar, Hong Kong); photometric inflection method; night median MSAS=18.38; MSAS at inflection=19.42; depression=14.13°; smoothing=5-pt median; dark rows=1383"
fajr,2022-01-03,06:59,9,36.3504,127.3845,75.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station DAO (Daejeon, Korea); photometric inflection method; night median MSAS=18.17; MSAS at inflection=16.63; depression=8.57°; smoothing=5-pt median; dark rows=287"
isha,2022-01-13,18:14,9,36.3504,127.3845,75.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station DAO (Daejeon, Korea); photometric inflection method; night median MSAS=18.11; MSAS at inflection=15.70; depression=7.80°; smoothing=5-pt median; dark rows=1357"
fajr,2022-01-28,06:57,9,36.3504,127.3845,75.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station DAO (Daejeon, Korea); photometric inflection method; night median MSAS=18.05; MSAS at inflection=16.15; depression=7.94°; smoothing=5-pt median; dark rows=1413"
fajr,2022-01-29,05:51,9,36.3504,127.3845,75.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station DAO (Daejeon, Korea); photometric inflection method; night median MSAS=17.88; MSAS at inflection=18.40; depression=20.82°; smoothing=5-pt median; dark rows=1410"
fajr,2022-01-05,05:55,-8,34.2994,-116.5056,1325.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station GMARS (Landers, California, USA); photometric inflection method; night median MSAS=21.25; MSAS at inflection=19.31; depression=11.72°; smoothing=5-pt median; dark rows=135"
fajr,2022-01-10,05:45,-8,34.2994,-116.5056,1325.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station GMARS (Landers, California, USA); photometric inflection method; night median MSAS=20.70; MSAS at inflection=20.70; depression=13.74°; smoothing=5-pt median; dark rows=134"
fajr,2022-01-12,06:05,-8,34.2994,-116.5056,1325.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station GMARS (Landers, California, USA); photometric inflection method; night median MSAS=19.74; MSAS at inflection=17.95; depression=9.79°; smoothing=5-pt median; dark rows=134"
fajr,2022-01-24,05:05,-8,34.2994,-116.5056,1325.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station GMARS (Landers, California, USA); photometric inflection method; night median MSAS=20.37; MSAS at inflection=19.48; depression=21.21°; smoothing=5-pt median; dark rows=132"
