prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2025-07-01,07:11,-3,-34.6037,-58.3816,25.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AHO (Almendra HackLab, Buenos Aires, Argentina); photometric inflection method; night median MSAS=17.58; MSAS at inflection=17.01; depression=10.11°; smoothing=5-pt median; dark rows=1224"
isha,2025-07-04,20:58,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.45; MSAS at inflection=18.33; depression=21.98°; smoothing=5-pt median; dark rows=1086"
fajr,2025-07-06,05:02,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.82; MSAS at inflection=17.44; depression=9.38°; smoothing=5-pt median; dark rows=1087"
isha,2025-07-07,20:03,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.56; MSAS at inflection=18.09; depression=11.54°; smoothing=5-pt median; dark rows=1087"
fajr,2025-07-09,04:35,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.19; MSAS at inflection=20.39; depression=15.00°; smoothing=5-pt median; dark rows=1090"
isha,2025-07-09,19:38,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=17.68; MSAS at inflection=15.27; depression=6.43°; smoothing=5-pt median; dark rows=1091"
fajr,2025-07-10,04:27,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=17.68; MSAS at inflection=19.09; depression=16.55°; smoothing=5-pt median; dark rows=1091"
isha,2025-07-15,23:31,2,51.1953,6.4578,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BO (Bettrath Observatory, Mönchengladbach, Germany); photometric inflection method; night median MSAS=19.70; MSAS at inflection=19.31; depression=12.08°; smoothing=5-pt median; dark rows=260"
fajr,2025-07-16,01:41,2,51.1953,6.4578,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BO (Bettrath Observatory, Mönchengladbach, Germany); photometric inflection method; night median MSAS=19.70; MSAS at inflection=20.07; depression=17.45°; smoothing=5-pt median; dark rows=260"
fajr,2025-07-17,03:52,2,51.1953,6.4578,80.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BO (Bettrath Observatory, Mönchengladbach, Germany); photometric inflection method; night median MSAS=20.13; MSAS at inflection=19.61; depression=12.07°; smoothing=5-pt median; dark rows=264"
