prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
isha,2023-06-05,19:43,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=17.69; MSAS at inflection=16.55; depression=8.75°; smoothing=5-pt median; dark rows=1088"
fajr,2023-06-06,04:10,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=17.69; MSAS at inflection=17.79; depression=18.38°; smoothing=5-pt median; dark rows=1088"
isha,2023-06-07,19:45,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.10; MSAS at inflection=16.39; depression=9.08°; smoothing=5-pt median; dark rows=1086"
fajr,2023-06-08,04:55,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.10; MSAS at inflection=17.45; depression=9.55°; smoothing=5-pt median; dark rows=1086"
isha,2023-06-08,19:44,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.13; MSAS at inflection=16.22; depression=8.79°; smoothing=5-pt median; dark rows=1085"
fajr,2023-06-09,03:56,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.13; MSAS at inflection=19.09; depression=21.02°; smoothing=5-pt median; dark rows=1085"
isha,2023-06-10,19:37,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=17.59; MSAS at inflection=18.39; depression=7.07°; smoothing=5-pt median; dark rows=1084"
isha,2023-06-11,19:48,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.19; MSAS at inflection=16.81; depression=9.27°; smoothing=5-pt median; dark rows=1083"
fajr,2023-06-12,04:45,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.19; MSAS at inflection=18.49; depression=11.65°; smoothing=5-pt median; dark rows=1083"
fajr,2023-06-13,04:00,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.53; MSAS at inflection=19.41; depression=20.26°; smoothing=5-pt median; dark rows=1082"
fajr,2023-06-19,04:35,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.50; MSAS at inflection=18.80; depression=13.66°; smoothing=5-pt median; dark rows=1080"
fajr,2023-06-20,03:52,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.75; MSAS at inflection=20.07; depression=21.76°; smoothing=5-pt median; dark rows=584"
isha,2023-06-20,20:40,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.48; MSAS at inflection=19.20; depression=18.85°; smoothing=5-pt median; dark rows=1076"
fajr,2023-06-21,04:30,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.48; MSAS at inflection=18.91; depression=14.68°; smoothing=5-pt median; dark rows=1076"
fajr,2023-06-22,04:30,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.92; MSAS at inflection=19.43; depression=14.74°; smoothing=5-pt median; dark rows=1080"
isha,2023-06-22,19:44,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.60; MSAS at inflection=16.44; depression=7.89°; smoothing=5-pt median; dark rows=1079"
fajr,2023-06-24,05:03,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=17.75; MSAS at inflection=16.88; depression=8.24°; smoothing=5-pt median; dark rows=1081"
isha,2023-06-24,20:00,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=17.81; MSAS at inflection=17.39; depression=11.00°; smoothing=5-pt median; dark rows=786"
fajr,2023-06-26,05:04,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.16; MSAS at inflection=16.14; depression=8.15°; smoothing=5-pt median; dark rows=1080"
fajr,2023-06-29,05:05,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.82; MSAS at inflection=16.49; depression=8.13°; smoothing=5-pt median; dark rows=1081"
fajr,2023-07-01,04:44,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.19; MSAS at inflection=19.29; depression=12.56°; smoothing=5-pt median; dark rows=1082"
isha,2023-06-01,21:13,-4,38.8816,-77.091,55.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Arl (Arlington, Virginia, USA); photometric inflection method; night median MSAS=17.73; MSAS at inflection=15.95; depression=8.31°; smoothing=5-pt median; dark rows=885"
isha,2023-06-09,21:17,-4,38.8816,-77.091,55.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Arl (Arlington, Virginia, USA); photometric inflection method; night median MSAS=17.84; MSAS at inflection=15.50; depression=8.09°; smoothing=5-pt median; dark rows=868"
isha,2023-06-10,22:31,-4,38.8816,-77.091,55.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Arl (Arlington, Virginia, USA); photometric inflection method; night median MSAS=17.67; MSAS at inflection=17.39; depression=18.06°; smoothing=5-pt median; dark rows=867"
fajr,2023-06-11,03:32,-4,38.8816,-77.091,55.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Arl (Arlington, Virginia, USA); photometric inflection method; night median MSAS=17.67; MSAS at inflection=18.01; depression=19.42°; smoothing=5-pt median; dark rows=867"
isha,2023-06-12,23:00,-4,38.8816,-77.091,55.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Arl (Arlington, Virginia, USA); photometric inflection method; night median MSAS=18.23; MSAS at inflection=18.26; depression=21.05°; smoothing=5-pt median; dark rows=864"
fajr,2023-06-13,03:11,-4,38.8816,-77.091,55.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Arl (Arlington, Virginia, USA); photometric inflection method; night median MSAS=18.23; MSAS at inflection=18.31; depression=21.56°; smoothing=5-pt median; dark rows=864"
isha,2023-06-15,22:23,-4,38.8816,-77.091,55.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Arl (Arlington, Virginia, USA); photometric inflection method; night median MSAS=17.61; MSAS at inflection=17.62; depression=16.74°; smoothing=5-pt median; dark rows=861"
fajr,2023-06-18,04:43,-4,38.8816,-77.091,55.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Arl (Arlington, Virginia, USA); photometric inflection method; night median MSAS=18.01; MSAS at inflection=17.42; depression=10.17°; smoothing=5-pt median; dark rows=860"
fajr,2023-06-25,03:27,-4,38.8816,-77.091,55.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Arl (Arlington, Virginia, USA); photometric inflection method; night median MSAS=18.16; MSAS at inflection=18.38; depression=20.04°; smoothing=5-pt median; dark rows=860"
fajr,2023-06-28,03:32,-4,38.8816,-77.091,55.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station Arl (Arlington, Virginia, USA); photometric inflection method; night median MSAS=17.99; MSAS at inflection=18.26; depression=19.60°; smoothing=5-pt median; dark rows=862"
isha,2023-05-31,22:19,-5,35.95,-92.5833,220.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BMCO (Big Music Creek, Arkansas, USA); photometric inflection method; night median MSAS=19.05; MSAS at inflection=18.57; depression=19.64°; smoothing=5-pt median; dark rows=357"
fajr,2023-06-02,03:52,-5,35.95,-92.5833,220.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BMCO (Big Music Creek, Arkansas, USA); photometric inflection method; night median MSAS=18.44; MSAS at inflection=19.71; depression=20.11°; smoothing=5-pt median; dark rows=355"
isha,2023-06-02,22:32,-5,35.95,-92.5833,220.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BMCO (Big Music Creek, Arkansas, USA); photometric inflection method; night median MSAS=18.37; MSAS at inflection=18.49; depression=21.11°; smoothing=5-pt median; dark rows=354"
fajr,2023-06-04,04:03,-5,35.95,-92.5833,220.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BMCO (Big Music Creek, Arkansas, USA); photometric inflection method; night median MSAS=18.06; MSAS at inflection=18.45; depression=18.44°; smoothing=5-pt median; dark rows=352"
isha,2023-06-04,22:41,-5,35.95,-92.5833,220.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BMCO (Big Music Creek, Arkansas, USA); photometric inflection method; night median MSAS=18.36; MSAS at inflection=19.35; depression=21.91°; smoothing=5-pt median; dark rows=351"
fajr,2023-06-05,03:39,-5,35.95,-92.5833,220.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BMCO (Big Music Creek, Arkansas, USA); photometric inflection method; night median MSAS=18.36; MSAS at inflection=18.30; depression=21.57°; smoothing=5-pt median; dark rows=351"
fajr,2023-06-07,03:41,-5,35.95,-92.5833,220.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station BMCO (Big Music Creek, Arkansas, USA); photometric inflection method; night median MSAS=19.38; MSAS at inflection=18.55; depression=21.16°; smoothing=5-pt median; dark rows=348"
