prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
isha,2025-09-01,19:55,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.65; MSAS at inflection=18.57; depression=17.76°; smoothing=5-pt median; dark rows=1209"
fajr,2025-09-03,05:05,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.06; MSAS at inflection=19.83; depression=14.56°; smoothing=5-pt median; dark rows=1213"
fajr,2025-09-05,05:26,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.18; MSAS at inflection=17.78; depression=9.98°; smoothing=5-pt median; dark rows=1218"
fajr,2025-09-06,05:07,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=18.13; MSAS at inflection=19.99; depression=14.45°; smoothing=5-pt median; dark rows=1221"
fajr,2025-09-15,04:59,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.18; MSAS at inflection=18.03; depression=16.82°; smoothing=5-pt median; dark rows=1245"
fajr,2025-09-16,05:21,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.11; MSAS at inflection=17.67; depression=11.98°; smoothing=5-pt median; dark rows=1248"
fajr,2025-09-18,05:13,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.37; MSAS at inflection=19.95; depression=14.06°; smoothing=5-pt median; dark rows=1252"
isha,2025-09-18,19:32,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.20; MSAS at inflection=18.01; depression=16.64°; smoothing=5-pt median; dark rows=1255"
isha,2025-09-19,19:03,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.68; MSAS at inflection=17.28; depression=10.34°; smoothing=5-pt median; dark rows=1258"
fajr,2025-09-20,05:07,8,22.3755,114.2707,10.0,Globe at Night Monitoring Network (GaN-MN). Continuous SQM-LE sky brightness data. https://globeatnight.org/gan-mn/. Station registry: http://globeatnight-network.org/,"GaN-MN station AP (Hong Kong Astropark, Sai Kung); photometric inflection method; night median MSAS=19.68; MSAS at inflection=19.93; depression=15.45°; smoothing=5-pt median; dark rows=1258"
