prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2016-05-28,04:23,3.0,25.4833,39.3667,752,"Khalifa et al. 2018, NRIAG J Astronomy Geophysics doi:10.1016/j.nrjag.2018.01.001, Table 3, Saudi Arabia deep desert","Saudi Arabia deep desert; ~80km Hail-Medina desert route, deep desert; Do=14.60; back-calc=14.600"
fajr,2016-05-29,04:21,3.0,25.4833,39.3667,752,"Khalifa et al. 2018, NRIAG J Astronomy Geophysics doi:10.1016/j.nrjag.2018.01.001, Table 3, Saudi Arabia deep desert","Saudi Arabia deep desert; ~80km Hail-Medina desert route, deep desert; Do=14.91; back-calc=14.910"
fajr,2016-05-30,04:21,3.0,25.75,39.3,791,"Khalifa et al. 2018, NRIAG J Astronomy Geophysics doi:10.1016/j.nrjag.2018.01.001, Table 3, Saudi Arabia deep desert","Saudi Arabia deep desert; Hail-Medina desert route, deep desert; Do=14.74; back-calc=14.740"
fajr,2016-06-04,04:15,3.0,25.5167,41.0,1092,"Khalifa et al. 2018, NRIAG J Astronomy Geophysics doi:10.1016/j.nrjag.2018.01.001, Table 3, Saudi Arabia deep desert","Saudi Arabia deep desert; Near Hail desert site, 1092m, deep desert; Do=14.46; back-calc=14.460"
fajr,2016-12-12,05:30,3.0,19.55,43.6333,1110,"Khalifa et al. 2018, NRIAG J Astronomy Geophysics doi:10.1016/j.nrjag.2018.01.001, Table 3, Saudi Arabia deep desert","Saudi Arabia deep desert; Asir region, 1110m, deep desert; Do=13.97; back-calc=13.970"
fajr,2016-12-13,05:30,3.0,19.6667,43.5167,1049,"Khalifa et al. 2018, NRIAG J Astronomy Geophysics doi:10.1016/j.nrjag.2018.01.001, Table 3, Saudi Arabia deep desert","Saudi Arabia deep desert; Asir region, 1049m, deep desert; Do=14.23; back-calc=14.230"
fajr,2016-12-19,05:54,3.0,24.2833,39.6667,770,"Khalifa et al. 2018, NRIAG J Astronomy Geophysics doi:10.1016/j.nrjag.2018.01.001, Table 3, Saudi Arabia deep desert","Saudi Arabia deep desert; Medina region, 770m, deep desert; Do=14.62; back-calc=14.620"
fajr,2016-12-20,05:56,3.0,24.2833,39.6667,770,"Khalifa et al. 2018, NRIAG J Astronomy Geophysics doi:10.1016/j.nrjag.2018.01.001, Table 3, Saudi Arabia deep desert","Saudi Arabia deep desert; Medina region, 770m, deep desert; Do=14.30; back-calc=14.300"
fajr,2016-12-21,05:56,3.0,24.3167,39.65,731,"Khalifa et al. 2018, NRIAG J Astronomy Geophysics doi:10.1016/j.nrjag.2018.01.001, Table 3, Saudi Arabia deep desert","Saudi Arabia deep desert; Medina region, 731m, deep desert; Do=14.44; back-calc=14.440"
fajr,2017-01-07,05:59,3.0,24.3167,39.65,731,"Khalifa et al. 2018, NRIAG J Astronomy Geophysics doi:10.1016/j.nrjag.2018.01.001, Table 3, Saudi Arabia deep desert","Saudi Arabia deep desert; Medina region, 731m, deep desert; Do=14.95; back-calc=14.950"
fajr,2017-01-08,06:00,3.0,24.3167,39.65,731,"Khalifa et al. 2018, NRIAG J Astronomy Geophysics doi:10.1016/j.nrjag.2018.01.001, Table 3, Saudi Arabia deep desert","Saudi Arabia deep desert; Medina region, 731m, deep desert; Do=14.99; back-calc=14.990"
