prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2012-10-15,05:50,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2012-10-15,20:05,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.07
fajr,2012-10-22,05:49,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2012-10-21,20:11,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.06
fajr,2012-10-28,05:58,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2012-10-31,05:53,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2012-11-07,06:00,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2012-11-18,06:19,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2012-11-19,06:10,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2012-11-22,06:14,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2012-12-06,06:34,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2012-12-11,06:28,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2012-12-13,06:30,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2012-12-24,06:43,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-01-13,06:41,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-01-14,06:43,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-01-15,06:50,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-01-17,06:53,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-01-22,06:41,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-02-09,06:33,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-02-10,06:40,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-02-13,06:35,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-03-15,05:46,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-03-17,05:48,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-03-20,05:35,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-03-21,05:40,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-03-22,05:42,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-04-02,21:14,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.03
isha,2013-04-06,21:20,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.00
fajr,2013-04-09,04:52,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-04-13,05:01,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-04-15,04:36,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-04-18,04:52,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-04-19,04:27,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-04-21,04:37,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-05-01,21:55,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.27
isha,2013-05-02,22:17,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.27
isha,2013-05-03,22:09,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.09
isha,2013-05-04,22:00,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.16
fajr,2013-05-06,03:57,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-05-05,22:02,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.16
fajr,2013-05-09,03:51,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-05-11,03:42,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-05-10,22:09,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.17
fajr,2013-05-12,04:10,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-05-11,22:11,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.17
fajr,2013-05-13,03:38,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-05-12,22:33,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.13
fajr,2013-05-15,03:46,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-05-16,03:51,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-05-17,03:41,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-05-19,03:56,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-05-20,03:46,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-05-21,03:53,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-05-30,22:38,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.26
isha,2013-05-31,22:39,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.30
isha,2013-06-01,22:40,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.28
isha,2013-06-02,22:41,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.26
isha,2013-06-03,22:42,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.26
fajr,2013-06-05,03:40,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-06-07,03:39,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-06-10,03:02,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-06-09,22:54,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.06
fajr,2013-06-11,03:34,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-06-11,22:50,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.32
fajr,2013-06-13,03:25,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-06-12,23:08,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.19
fajr,2013-06-18,03:24,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-06-19,03:23,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-06-20,03:35,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-07-02,22:52,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.00
isha,2013-07-03,22:52,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.22
fajr,2013-07-05,03:23,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-07-04,22:51,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.27
fajr,2013-07-06,03:41,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-07-05,22:51,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.02
fajr,2013-07-08,03:30,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-07-07,22:50,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.06
fajr,2013-07-09,03:38,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-07-08,22:49,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.12
fajr,2013-07-11,03:39,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-07-12,03:33,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-07-28,22:35,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.32
isha,2013-07-29,22:23,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.30
isha,2013-07-30,22:22,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.34
isha,2013-07-31,22:21,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.12
isha,2013-08-03,22:15,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.14
fajr,2013-08-05,04:20,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-08-04,22:14,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.22
isha,2013-08-08,22:07,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.22
fajr,2013-08-10,04:11,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-08-09,22:05,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.34
fajr,2013-08-11,04:16,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-08-10,22:04,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.28
fajr,2013-08-14,04:22,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-08-25,21:36,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.00
isha,2013-08-31,21:25,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.10
isha,2013-09-01,21:22,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.12
isha,2013-09-03,21:19,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.04
isha,2013-09-04,21:17,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.07
fajr,2013-09-10,05:02,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-09-15,05:05,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-09-16,05:06,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-10-04,20:22,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.21
fajr,2013-10-06,05:31,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-10-07,05:41,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-10-06,20:36,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.24
fajr,2013-10-08,05:36,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
isha,2013-10-07,20:17,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM threshold Isha detection (Shafaq Abyad); dark-sky baseline=18.21
fajr,2013-10-11,05:49,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
fajr,2013-10-12,05:40,1.0,40.45,-3.73,640,Madrid Zenodo SQM (10-year),SQM inflection point Fajr detection; Madrid UCM Observatory; dark-sky baseline>=18.0
