prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
isha,2012-10-10,21:19:46,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=15.80,solar_dep=19.40deg,inflection_method"
fajr,2012-10-11,06:47:21,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=16.66,solar_dep=18.72deg,inflection_method"
isha,2012-10-11,21:15:37,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=17.00,solar_dep=18.90deg,inflection_method"
fajr,2012-10-12,06:45:13,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=16.15,solar_dep=19.32deg,inflection_method"
isha,2012-10-12,21:09:34,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=15.18,solar_dep=18.05deg,inflection_method"
fajr,2012-10-13,06:49:10,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=17.55,solar_dep=18.77deg,inflection_method"
isha,2012-10-13,21:08:30,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=16.73,solar_dep=18.13deg,inflection_method"
fajr,2012-10-14,06:47:06,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=15.61,solar_dep=19.35deg,inflection_method"
isha,2012-10-14,21:15:26,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=15.25,solar_dep=19.72deg,inflection_method"
fajr,2012-10-15,06:47:02,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=18.32,solar_dep=19.56deg,inflection_method"
isha,2012-10-15,21:05:31,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=17.70,solar_dep=18.12deg,inflection_method"
fajr,2012-10-16,06:54:12,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=18.16,solar_dep=18.40deg,inflection_method"
isha,2012-10-16,21:04:32,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=16.53,solar_dep=18.21deg,inflection_method"
fajr,2012-10-17,06:48:31,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=18.16,solar_dep=19.67deg,inflection_method"
isha,2012-10-17,21:11:52,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=17.39,solar_dep=19.87deg,inflection_method"
fajr,2012-10-18,21:00:57,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=14.31,solar_dep=18.06deg,inflection_method"
isha,2012-10-18,21:04:57,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=14.99,solar_dep=18.82deg,inflection_method"
fajr,2012-10-19,20:59:27,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=14.27,solar_dep=18.04deg,inflection_method"
isha,2012-10-19,21:00:27,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=15.03,solar_dep=18.23deg,inflection_method"
fajr,2012-10-20,07:00:13,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=15.39,solar_dep=18.04deg,inflection_method"
isha,2012-10-20,21:07:37,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=14.48,solar_dep=19.85deg,inflection_method"
fajr,2012-10-21,06:57:16,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=15.88,solar_dep=18.79deg,inflection_method"
isha,2012-10-21,20:57:41,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=17.39,solar_dep=18.21deg,inflection_method"
fajr,2012-10-22,07:01:22,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=16.21,solar_dep=18.21deg,inflection_method"
isha,2012-10-22,21:00:45,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=16.36,solar_dep=19.05deg,inflection_method"
fajr,2012-10-23,07:03:23,2,40.4189,-3.6919,650.0,Madrid_SQM_evol_UCM_Zenodo4633001,"sqm_msas=16.36,solar_dep=18.02deg,inflection_method"
