prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
isha,2019-02-13,19:42:45,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=11.03deg,inflection_method"
fajr,2019-02-14,06:32:44,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=19.23deg,inflection_method"
isha,2019-02-14,19:47:52,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=11.78deg,inflection_method"
fajr,2019-02-15,06:32:52,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=18.98deg,inflection_method"
isha,2019-02-15,19:47:50,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=11.57deg,inflection_method"
fajr,2019-02-16,06:32:50,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=18.76deg,inflection_method"
isha,2019-02-16,19:47:58,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=11.38deg,inflection_method"
fajr,2019-02-17,06:27:56,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=19.47deg,inflection_method"
isha,2019-02-17,19:47:57,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=11.17deg,inflection_method"
fajr,2019-02-18,06:28:04,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=19.21deg,inflection_method"
isha,2019-02-18,19:48:06,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=10.99deg,inflection_method"
fajr,2019-02-19,06:28:04,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=18.97deg,inflection_method"
isha,2019-02-19,19:53:08,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=11.74deg,inflection_method"
fajr,2019-02-20,06:28:03,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=18.73deg,inflection_method"
isha,2019-02-20,19:53:07,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=11.53deg,inflection_method"
fajr,2019-02-21,06:28:11,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=18.45deg,inflection_method"
isha,2019-02-21,19:53:15,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=11.34deg,inflection_method"
fajr,2019-02-22,06:23:07,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=19.16deg,inflection_method"
isha,2019-02-22,19:53:49,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=11.24deg,inflection_method"
fajr,2019-02-23,06:18:44,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=19.74deg,inflection_method"
isha,2019-02-23,19:53:52,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=11.05deg,inflection_method"
fajr,2019-02-24,06:18:47,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=19.47deg,inflection_method"
isha,2019-02-24,19:58:48,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=11.77deg,inflection_method"
fajr,2019-02-25,06:18:50,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=19.20deg,inflection_method"
isha,2019-02-25,19:58:51,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=11.58deg,inflection_method"
fajr,2019-02-26,06:18:52,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=18.92deg,inflection_method"
isha,2019-02-26,19:58:54,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=11.38deg,inflection_method"
fajr,2019-02-27,06:14:02,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=19.56deg,inflection_method"
isha,2019-02-27,20:01:13,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=11.61deg,inflection_method"
fajr,2019-02-28,06:16:08,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=18.89deg,inflection_method"
isha,2019-02-28,20:01:06,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=11.38deg,inflection_method"
fajr,2019-03-01,06:11:09,1,40.469,-3.863,700.0,Majadahonda_SQM_2019_Zenodo5709962,"sqm_msas=19.84,solar_dep=19.56deg,inflection_method"
