prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2019-04-04,04:52,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.44; MSAS at inflection=18.31; depression=12.12°; smoothing=5-pt median; dark rows=226
isha,2019-04-05,20:02,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.26; MSAS at inflection=18.12; depression=15.45°; smoothing=5-pt median; dark rows=1110
fajr,2019-04-06,05:10,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.26; MSAS at inflection=15.89; depression=8.30°; smoothing=5-pt median; dark rows=1110
isha,2019-04-06,20:03,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.01; MSAS at inflection=17.58; depression=15.42°; smoothing=5-pt median; dark rows=1109
fajr,2019-04-07,03:55,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.01; MSAS at inflection=16.58; depression=21.10°; smoothing=5-pt median; dark rows=1109
isha,2019-04-08,20:22,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.84; MSAS at inflection=17.85; depression=18.21°; smoothing=5-pt median; dark rows=1105
fajr,2019-04-09,04:51,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.84; MSAS at inflection=17.93; depression=10.89°; smoothing=5-pt median; dark rows=1105
isha,2019-04-09,20:13,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.71; MSAS at inflection=17.75; depression=16.50°; smoothing=5-pt median; dark rows=1092
fajr,2019-04-10,05:02,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.71; MSAS at inflection=16.58; depression=8.48°; smoothing=5-pt median; dark rows=1092
isha,2019-04-10,20:18,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.44; MSAS at inflection=17.53; depression=17.04°; smoothing=5-pt median; dark rows=1082
fajr,2019-04-11,04:21,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.44; MSAS at inflection=17.92; depression=15.46°; smoothing=5-pt median; dark rows=1082
isha,2019-04-11,19:32,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.44; MSAS at inflection=16.71; depression=8.80°; smoothing=5-pt median; dark rows=1082
fajr,2019-04-13,05:01,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.29; MSAS at inflection=15.83; depression=7.85°; smoothing=5-pt median; dark rows=932
isha,2019-04-13,19:27,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.82; MSAS at inflection=15.50; depression=7.58°; smoothing=5-pt median; dark rows=1083
isha,2019-04-15,20:18,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.84; MSAS at inflection=16.60; depression=16.06°; smoothing=5-pt median; dark rows=1069
isha,2019-04-26,19:50,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.48; MSAS at inflection=16.75; depression=8.96°; smoothing=5-pt median; dark rows=1000
isha,2019-04-28,20:58,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.03; MSAS at inflection=18.16; depression=19.33°; smoothing=5-pt median; dark rows=997
isha,2019-04-29,21:03,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.49; MSAS at inflection=16.38; depression=19.84°; smoothing=5-pt median; dark rows=991
