prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
isha,2020-04-02,19:35,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.10; MSAS at inflection=15.62; depression=11.17°; smoothing=5-pt median; dark rows=1124
fajr,2020-04-03,05:16,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.10; MSAS at inflection=16.17; depression=7.97°; smoothing=5-pt median; dark rows=1124
isha,2020-04-13,20:24,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.58; MSAS at inflection=17.55; depression=17.27°; smoothing=5-pt median; dark rows=1065
fajr,2020-04-14,04:55,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.58; MSAS at inflection=15.35; depression=8.40°; smoothing=5-pt median; dark rows=1065
fajr,2020-04-18,03:40,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.03; MSAS at inflection=17.27; depression=19.84°; smoothing=5-pt median; dark rows=1057
fajr,2020-04-20,04:37,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.61; MSAS at inflection=17.75; depression=9.83°; smoothing=5-pt median; dark rows=205
isha,2020-04-23,19:43,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.88; MSAS at inflection=15.59; depression=8.20°; smoothing=5-pt median; dark rows=201
isha,2020-04-24,19:59,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.16; MSAS at inflection=16.72; depression=10.70°; smoothing=5-pt median; dark rows=1005
fajr,2020-04-26,04:32,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.96; MSAS at inflection=16.30; depression=9.04°; smoothing=5-pt median; dark rows=199
isha,2020-04-01,20:05,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=17.77; MSAS at inflection=17.77; depression=16.21°; smoothing=5-pt median; dark rows=582
fajr,2020-04-02,05:00,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=17.77; MSAS at inflection=19.35; depression=13.10°; smoothing=5-pt median; dark rows=582
fajr,2020-04-03,04:52,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=19.35; MSAS at inflection=20.51; depression=14.17°; smoothing=5-pt median; dark rows=577
isha,2020-04-03,20:09,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=18.65; MSAS at inflection=17.13; depression=16.59°; smoothing=5-pt median; dark rows=577
