prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
isha,2020-08-01,20:19,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.13; MSAS at inflection=16.92; depression=9.27°; smoothing=5-pt median; dark rows=930
fajr,2020-08-02,04:29,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.13; MSAS at inflection=16.17; depression=8.16°; smoothing=5-pt median; dark rows=930
fajr,2020-08-05,03:51,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.03; MSAS at inflection=18.01; depression=14.54°; smoothing=5-pt median; dark rows=941
isha,2020-08-05,20:22,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.80; MSAS at inflection=17.65; depression=10.63°; smoothing=5-pt median; dark rows=940
fajr,2020-08-07,04:24,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.91; MSAS at inflection=17.17; depression=9.88°; smoothing=5-pt median; dark rows=952
fajr,2020-08-09,04:26,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.78; MSAS at inflection=17.18; depression=9.84°; smoothing=5-pt median; dark rows=953
fajr,2020-08-13,04:31,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.30; MSAS at inflection=17.58; depression=9.84°; smoothing=5-pt median; dark rows=100
isha,2020-08-13,20:39,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.28; MSAS at inflection=18.12; depression=15.35°; smoothing=5-pt median; dark rows=1000
isha,2020-08-15,20:10,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.45; MSAS at inflection=17.87; depression=11.20°; smoothing=5-pt median; dark rows=114
isha,2020-08-16,20:11,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.58; MSAS at inflection=18.05; depression=11.62°; smoothing=5-pt median; dark rows=101
isha,2020-08-17,19:58,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.38; MSAS at inflection=17.00; depression=9.75°; smoothing=5-pt median; dark rows=102
