prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
isha,2018-02-02,18:48,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.75; MSAS at inflection=18.02; depression=14.63°; smoothing=5-pt median; dark rows=1422
fajr,2018-02-03,06:37,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.75; MSAS at inflection=16.04; depression=8.89°; smoothing=5-pt median; dark rows=1422
isha,2018-02-07,18:48,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.43; MSAS at inflection=17.53; depression=13.56°; smoothing=5-pt median; dark rows=1399
fajr,2018-02-08,06:18,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.43; MSAS at inflection=18.03; depression=11.53°; smoothing=5-pt median; dark rows=1399
isha,2018-02-08,18:32,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.36; MSAS at inflection=17.47; depression=10.25°; smoothing=5-pt median; dark rows=1407
fajr,2018-02-09,05:35,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.36; MSAS at inflection=18.04; depression=19.42°; smoothing=5-pt median; dark rows=1407
isha,2018-02-09,18:51,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.62; MSAS at inflection=16.41; depression=13.61°; smoothing=5-pt median; dark rows=1390
fajr,2018-02-10,06:11,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.62; MSAS at inflection=18.26; depression=12.36°; smoothing=5-pt median; dark rows=1390
isha,2018-02-10,18:42,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.01; MSAS at inflection=17.88; depression=11.82°; smoothing=5-pt median; dark rows=1380
fajr,2018-02-11,05:23,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.01; MSAS at inflection=18.35; depression=21.32°; smoothing=5-pt median; dark rows=1380
isha,2018-02-12,19:11,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.31; MSAS at inflection=17.98; depression=16.91°; smoothing=5-pt median; dark rows=1378
fajr,2018-02-13,06:18,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.31; MSAS at inflection=17.74; depression=10.56°; smoothing=5-pt median; dark rows=1378
isha,2018-02-14,18:52,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.76; MSAS at inflection=16.79; depression=12.77°; smoothing=5-pt median; dark rows=1360
fajr,2018-02-15,05:36,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.76; MSAS at inflection=16.23; depression=17.95°; smoothing=5-pt median; dark rows=1360
