prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
isha,2020-07-01,02:16,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.22; MSAS at inflection=18.28; depression=20.75°; smoothing=5-pt median; dark rows=445
isha,2020-07-01,20:49,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.24; MSAS at inflection=15.87; depression=10.08°; smoothing=5-pt median; dark rows=823
isha,2020-07-02,21:38,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.13; MSAS at inflection=17.98; depression=16.47°; smoothing=5-pt median; dark rows=824
fajr,2020-07-03,04:00,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.13; MSAS at inflection=16.28; depression=8.25°; smoothing=5-pt median; dark rows=824
isha,2020-07-03,20:47,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.04; MSAS at inflection=17.25; depression=9.91°; smoothing=5-pt median; dark rows=824
fajr,2020-07-04,03:48,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.04; MSAS at inflection=17.68; depression=10.18°; smoothing=5-pt median; dark rows=824
isha,2020-07-05,20:37,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.93; MSAS at inflection=16.20; depression=8.51°; smoothing=5-pt median; dark rows=825
fajr,2020-07-06,03:52,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.93; MSAS at inflection=17.25; depression=9.82°; smoothing=5-pt median; dark rows=825
isha,2020-07-06,21:02,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.00; MSAS at inflection=17.91; depression=12.15°; smoothing=5-pt median; dark rows=848
fajr,2020-07-07,04:04,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.00; MSAS at inflection=16.03; depression=8.16°; smoothing=5-pt median; dark rows=848
isha,2020-07-07,22:06,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.62; MSAS at inflection=17.88; depression=19.96°; smoothing=5-pt median; dark rows=827
fajr,2020-07-08,03:24,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.62; MSAS at inflection=17.09; depression=13.81°; smoothing=5-pt median; dark rows=827
isha,2020-07-08,20:38,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.85; MSAS at inflection=16.81; depression=8.96°; smoothing=5-pt median; dark rows=831
isha,2020-07-11,21:29,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.87; MSAS at inflection=17.86; depression=16.08°; smoothing=5-pt median; dark rows=845
fajr,2020-07-12,04:05,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.87; MSAS at inflection=15.68; depression=8.54°; smoothing=5-pt median; dark rows=845
fajr,2020-07-14,03:29,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.93; MSAS at inflection=18.20; depression=13.91°; smoothing=5-pt median; dark rows=847
isha,2020-07-15,20:28,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.43; MSAS at inflection=16.02; depression=8.06°; smoothing=5-pt median; dark rows=871
fajr,2020-07-17,03:57,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.38; MSAS at inflection=17.81; depression=10.36°; smoothing=5-pt median; dark rows=855
fajr,2020-07-18,03:47,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.51; MSAS at inflection=18.26; depression=12.09°; smoothing=5-pt median; dark rows=847
isha,2020-07-19,20:30,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.36; MSAS at inflection=16.58; depression=8.88°; smoothing=5-pt median; dark rows=871
isha,2020-07-20,20:23,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.03; MSAS at inflection=15.64; depression=7.84°; smoothing=5-pt median; dark rows=874
