prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2017-06-01,03:27,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.40; MSAS at inflection=18.28; depression=12.80°; smoothing=5-pt median; dark rows=448
isha,2017-06-02,22:07,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.74; MSAS at inflection=16.60; depression=20.88°; smoothing=5-pt median; dark rows=839
fajr,2017-06-03,03:02,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.74; MSAS at inflection=18.29; depression=15.86°; smoothing=5-pt median; dark rows=839
isha,2017-06-06,20:27,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.21; MSAS at inflection=15.77; depression=7.90°; smoothing=5-pt median; dark rows=817
fajr,2017-06-08,03:10,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.90; MSAS at inflection=18.17; depression=14.53°; smoothing=5-pt median; dark rows=833
isha,2017-06-12,21:02,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.16; MSAS at inflection=17.98; depression=12.31°; smoothing=5-pt median; dark rows=827
fajr,2017-06-13,02:55,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.16; MSAS at inflection=18.18; depression=16.14°; smoothing=5-pt median; dark rows=827
isha,2017-06-13,20:56,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.17; MSAS at inflection=17.84; depression=11.41°; smoothing=5-pt median; dark rows=832
isha,2017-06-14,21:11,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.11; MSAS at inflection=18.07; depression=13.42°; smoothing=5-pt median; dark rows=826
isha,2017-06-16,21:01,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.76; MSAS at inflection=17.50; depression=11.89°; smoothing=5-pt median; dark rows=823
isha,2017-06-17,22:00,0,40.4246,-3.56028,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.41; MSAS at inflection=18.26; depression=18.91°; smoothing=5-pt median; dark rows=822
