prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
isha,2020-06-04,20:24,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.98; MSAS at inflection=15.61; depression=7.71°; smoothing=5-pt median; dark rows=827
fajr,2020-06-05,03:56,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.98; MSAS at inflection=16.40; depression=8.28°; smoothing=5-pt median; dark rows=827
fajr,2020-06-06,03:52,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.85; MSAS at inflection=16.70; depression=8.81°; smoothing=5-pt median; dark rows=827
isha,2020-06-06,21:21,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.04; MSAS at inflection=17.28; depression=15.29°; smoothing=5-pt median; dark rows=814
fajr,2020-06-07,03:59,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.04; MSAS at inflection=15.99; depression=7.84°; smoothing=5-pt median; dark rows=814
fajr,2020-06-09,03:45,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.35; MSAS at inflection=17.47; depression=9.79°; smoothing=5-pt median; dark rows=819
fajr,2020-06-10,03:42,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.99; MSAS at inflection=16.97; depression=10.10°; smoothing=5-pt median; dark rows=164
isha,2020-06-10,20:42,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.32; MSAS at inflection=15.85; depression=9.65°; smoothing=5-pt median; dark rows=165
fajr,2020-06-11,03:55,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.32; MSAS at inflection=16.43; depression=8.19°; smoothing=5-pt median; dark rows=165
isha,2020-06-12,22:27,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.40; MSAS at inflection=16.42; depression=21.71°; smoothing=5-pt median; dark rows=792
fajr,2020-06-13,03:34,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.40; MSAS at inflection=18.13; depression=11.11°; smoothing=5-pt median; dark rows=792
fajr,2020-06-14,02:28,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.40; MSAS at inflection=17.77; depression=19.06°; smoothing=5-pt median; dark rows=812
isha,2020-06-15,20:32,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.93; MSAS at inflection=16.14; depression=7.97°; smoothing=5-pt median; dark rows=814
isha,2020-06-16,20:31,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.04; MSAS at inflection=15.62; depression=7.66°; smoothing=5-pt median; dark rows=815
fajr,2020-06-17,02:00,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.04; MSAS at inflection=18.16; depression=21.67°; smoothing=5-pt median; dark rows=815
fajr,2020-06-19,03:57,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.44; MSAS at inflection=15.96; depression=7.94°; smoothing=5-pt median; dark rows=816
fajr,2020-06-20,03:46,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.33; MSAS at inflection=17.35; depression=9.57°; smoothing=5-pt median; dark rows=807
fajr,2020-06-21,03:49,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.41; MSAS at inflection=17.16; depression=9.18°; smoothing=5-pt median; dark rows=813
fajr,2020-06-27,03:49,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.34; MSAS at inflection=16.93; depression=9.45°; smoothing=5-pt median; dark rows=818
isha,2020-06-01,20:50,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=18.28; MSAS at inflection=18.10; depression=12.19°; smoothing=5-pt median; dark rows=251
fajr,2020-06-03,04:05,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=18.66; MSAS at inflection=17.60; depression=9.40°; smoothing=5-pt median; dark rows=353
isha,2020-06-03,21:16,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=17.93; MSAS at inflection=18.00; depression=15.68°; smoothing=5-pt median; dark rows=254
fajr,2020-06-04,04:16,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=17.93; MSAS at inflection=15.85; depression=7.66°; smoothing=5-pt median; dark rows=254
isha,2020-06-05,20:32,0,38.3149,-5.28355,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars15; photometric inflection method; night median MSAS=17.95; MSAS at inflection=16.80; depression=9.05°; smoothing=5-pt median; dark rows=437
