prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2019-05-01,03:20,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.47; MSAS at inflection=18.43; depression=19.36°; smoothing=5-pt median; dark rows=516
isha,2019-05-01,20:22,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.33; MSAS at inflection=16.52; depression=13.24°; smoothing=5-pt median; dark rows=981
isha,2019-05-02,21:05,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.76; MSAS at inflection=17.57; depression=19.47°; smoothing=5-pt median; dark rows=963
fajr,2019-05-03,03:34,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.76; MSAS at inflection=18.40; depression=16.86°; smoothing=5-pt median; dark rows=963
isha,2019-05-03,20:32,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.57; MSAS at inflection=18.26; depression=14.36°; smoothing=5-pt median; dark rows=969
fajr,2019-05-04,04:23,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.57; MSAS at inflection=16.88; depression=8.88°; smoothing=5-pt median; dark rows=969
isha,2019-05-05,20:17,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.55; MSAS at inflection=17.92; depression=11.58°; smoothing=5-pt median; dark rows=950
fajr,2019-05-06,04:20,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.55; MSAS at inflection=16.93; depression=8.93°; smoothing=5-pt median; dark rows=950
fajr,2019-05-07,04:07,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.32; MSAS at inflection=17.86; depression=10.72°; smoothing=5-pt median; dark rows=946
fajr,2019-05-09,03:45,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.48; MSAS at inflection=18.27; depression=13.74°; smoothing=5-pt median; dark rows=934
fajr,2019-05-11,03:44,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.50; MSAS at inflection=18.49; depression=13.48°; smoothing=5-pt median; dark rows=921
