prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
isha,2020-05-01,19:49,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.98; MSAS at inflection=15.66; depression=7.67°; smoothing=5-pt median; dark rows=965
isha,2020-05-03,19:52,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.59; MSAS at inflection=15.61; depression=7.75°; smoothing=5-pt median; dark rows=959
isha,2020-05-16,20:24,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.87; MSAS at inflection=15.48; depression=10.37°; smoothing=5-pt median; dark rows=904
fajr,2020-05-17,04:14,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.87; MSAS at inflection=15.79; depression=7.65°; smoothing=5-pt median; dark rows=904
isha,2020-05-18,20:19,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.44; MSAS at inflection=17.18; depression=9.33°; smoothing=5-pt median; dark rows=883
isha,2020-05-19,20:13,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.50; MSAS at inflection=16.34; depression=8.27°; smoothing=5-pt median; dark rows=885
isha,2020-05-20,20:26,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.51; MSAS at inflection=17.56; depression=10.00°; smoothing=5-pt median; dark rows=867
isha,2020-05-21,20:18,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.32; MSAS at inflection=16.74; depression=8.63°; smoothing=5-pt median; dark rows=843
fajr,2020-05-22,02:27,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.32; MSAS at inflection=18.34; depression=21.34°; smoothing=5-pt median; dark rows=843
fajr,2020-05-24,03:01,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.24; MSAS at inflection=18.29; depression=17.09°; smoothing=5-pt median; dark rows=829
fajr,2020-05-28,02:29,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.06; MSAS at inflection=18.29; depression=20.22°; smoothing=5-pt median; dark rows=833
isha,2020-05-28,20:30,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.34; MSAS at inflection=17.12; depression=9.45°; smoothing=5-pt median; dark rows=842
isha,2020-05-29,20:28,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.15; MSAS at inflection=16.70; depression=8.97°; smoothing=5-pt median; dark rows=845
