prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
isha,2017-11-05,18:12,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.51; MSAS at inflection=16.38; depression=12.93°; smoothing=5-pt median; dark rows=1400
fajr,2017-11-06,06:10,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.51; MSAS at inflection=15.91; depression=7.95°; smoothing=5-pt median; dark rows=1400
isha,2017-11-06,17:54,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.74; MSAS at inflection=17.19; depression=9.73°; smoothing=5-pt median; dark rows=1417
fajr,2017-11-07,06:05,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.74; MSAS at inflection=16.75; depression=9.10°; smoothing=5-pt median; dark rows=1417
fajr,2017-11-08,05:12,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.03; MSAS at inflection=16.91; depression=19.16°; smoothing=5-pt median; dark rows=1421
isha,2017-11-08,17:52,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.12; MSAS at inflection=17.29; depression=9.72°; smoothing=5-pt median; dark rows=1422
fajr,2017-11-09,06:05,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.12; MSAS at inflection=17.13; depression=9.53°; smoothing=5-pt median; dark rows=1422
isha,2017-11-09,17:50,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.29; MSAS at inflection=16.92; depression=9.48°; smoothing=5-pt median; dark rows=1426
fajr,2017-11-11,05:53,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.40; MSAS at inflection=18.15; depression=12.19°; smoothing=5-pt median; dark rows=1427
fajr,2017-11-13,06:14,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.54; MSAS at inflection=16.61; depression=8.67°; smoothing=5-pt median; dark rows=1424
isha,2017-11-13,17:41,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.54; MSAS at inflection=16.27; depression=8.47°; smoothing=5-pt median; dark rows=1436
fajr,2017-11-14,06:14,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.54; MSAS at inflection=16.84; depression=8.92°; smoothing=5-pt median; dark rows=1436
isha,2017-11-14,17:42,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.46; MSAS at inflection=16.66; depression=8.87°; smoothing=5-pt median; dark rows=1448
fajr,2017-11-15,06:19,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.46; MSAS at inflection=16.13; depression=8.09°; smoothing=5-pt median; dark rows=1448
isha,2017-11-15,17:47,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.47; MSAS at inflection=17.22; depression=9.87°; smoothing=5-pt median; dark rows=1451
fajr,2017-11-17,05:10,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.47; MSAS at inflection=18.53; depression=21.22°; smoothing=5-pt median; dark rows=1455
