prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
isha,2018-09-01,19:24,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.92; MSAS at inflection=15.67; depression=7.89°; smoothing=5-pt median; dark rows=1082
isha,2018-09-02,19:29,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.69; MSAS at inflection=16.73; depression=9.09°; smoothing=5-pt median; dark rows=1055
fajr,2018-09-05,04:48,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.10; MSAS at inflection=17.77; depression=11.20°; smoothing=5-pt median; dark rows=1038
fajr,2018-09-06,04:22,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.07; MSAS at inflection=17.35; depression=16.04°; smoothing=5-pt median; dark rows=1056
fajr,2018-09-07,05:06,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.27; MSAS at inflection=16.28; depression=8.39°; smoothing=5-pt median; dark rows=1085
fajr,2018-09-09,04:35,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.30; MSAS at inflection=18.48; depression=14.46°; smoothing=5-pt median; dark rows=226
isha,2018-09-09,20:03,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.53; MSAS at inflection=16.55; depression=17.28°; smoothing=5-pt median; dark rows=223
isha,2018-09-10,19:12,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.39; MSAS at inflection=16.08; depression=8.51°; smoothing=5-pt median; dark rows=226
fajr,2018-09-11,04:08,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.39; MSAS at inflection=18.37; depression=19.48°; smoothing=5-pt median; dark rows=226
fajr,2018-09-12,04:39,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=17.68; MSAS at inflection=18.22; depression=14.20°; smoothing=5-pt median; dark rows=225
isha,2018-09-12,19:57,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.30; MSAS at inflection=17.86; depression=17.29°; smoothing=5-pt median; dark rows=229
isha,2018-09-13,19:21,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.27; MSAS at inflection=17.38; depression=11.13°; smoothing=5-pt median; dark rows=1154
fajr,2018-09-14,05:14,0,40.424604,-3.560279,0.0,Zamorano J. et al. (2019). TESS-W sky brightness network. Zenodo monthly archives. https://zenodo.org/records/3378728. CC0 1.0.,TESS station stars1; photometric inflection method; night median MSAS=18.27; MSAS at inflection=16.13; depression=8.29°; smoothing=5-pt median; dark rows=1154
