prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2022-09-22,04:39,8.0,-5.48826,120.44388,6,"Hidayatulloh 2023 UIN Walisongo thesis SOOF+SQM Fajr South Sulawesi Indonesia","Bulukumba S.Sulawesi Bortle-1 MPSAS=22.0; moon=13.7%; weather=Cloudy; SQM=17.8254° SOOF=18.3059°; time inferred from SQM angle"
fajr,2022-09-24,04:34,8.0,-5.48826,120.44388,6,"Hidayatulloh 2023 UIN Walisongo thesis SOOF+SQM Fajr South Sulawesi Indonesia","Bulukumba S.Sulawesi Bortle-1 MPSAS=22.0; moon=3%; weather=Cloudy; SQM=18.9569° SOOF=18.7899°; time inferred from SQM angle"
fajr,2022-09-25,04:31,8.0,-5.48826,120.44388,6,"Hidayatulloh 2023 UIN Walisongo thesis SOOF+SQM Fajr South Sulawesi Indonesia","Bulukumba S.Sulawesi Bortle-1 MPSAS=22.0; moon=1%; weather=Clear-Cloudy; SQM=19.514° SOOF=19.1189°; time inferred from SQM angle"
fajr,2022-09-27,04:37,8.0,-5.48826,120.44388,6,"Hidayatulloh 2023 UIN Walisongo thesis SOOF+SQM Fajr South Sulawesi Indonesia","Bulukumba S.Sulawesi Bortle-1 MPSAS=21.9; moon=3%; weather=Thick Cloud; SQM=17.7429° SOOF=18.2409°; time inferred from SQM angle"
fajr,2022-10-02,04:28,8.0,-5.48826,120.44388,6,"Hidayatulloh 2023 UIN Walisongo thesis SOOF+SQM Fajr South Sulawesi Indonesia","Bulukumba S.Sulawesi Bortle-1 MPSAS=21.6; moon=41%; weather=Thin Cloud; SQM=19.416° SOOF=19.1882°; time inferred from SQM angle"
fajr,2022-10-03,04:34,8.0,-5.36511,119.51343,25,"Hidayatulloh 2023 UIN Walisongo thesis SOOF+SQM Fajr South Sulawesi Indonesia","Takalar S.Sulawesi Bortle-4 MPSAS=20.4; moon=55%; weather=Cloudy; SQM=18.6759° SOOF=18.453°; time inferred from SQM angle"
fajr,2022-10-04,04:34,8.0,-5.36511,119.51343,25,"Hidayatulloh 2023 UIN Walisongo thesis SOOF+SQM Fajr South Sulawesi Indonesia","Takalar S.Sulawesi Bortle-4 MPSAS=20.6; moon=63%; weather=Thin Cloud; SQM=18.6408° SOOF=18.4378°; time inferred from SQM angle"
fajr,2022-10-05,04:47,8.0,-5.36511,119.51343,25,"Hidayatulloh 2023 UIN Walisongo thesis SOOF+SQM Fajr South Sulawesi Indonesia","Takalar S.Sulawesi Bortle-4 MPSAS=21.8; moon=74%; weather=Thick Cloud; SQM=15.1146° SOOF=15.3822°; time inferred from SQM angle"
fajr,2022-10-07,04:35,8.0,-5.36511,119.51343,25,"Hidayatulloh 2023 UIN Walisongo thesis SOOF+SQM Fajr South Sulawesi Indonesia","Takalar S.Sulawesi Bortle-4 MPSAS=20.6; moon=91%; weather=Thin Cloud; SQM=17.9224° SOOF=16.6283°; time inferred from SQM angle"
fajr,2022-10-08,04:39,8.0,-5.36511,119.51343,25,"Hidayatulloh 2023 UIN Walisongo thesis SOOF+SQM Fajr South Sulawesi Indonesia","Takalar S.Sulawesi Bortle-4 MPSAS=20.6; moon=96%; weather=Cloudy; SQM=16.8223° SOOF=16.8948°; time inferred from SQM angle"
