prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2023-05-18,04:50,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.911 at threshold=15.0 plateau=18.584 solar_depression=7.2949deg direction=morning
fajr,2023-05-19,04:48,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.956 at threshold=15.0 plateau=18.64 solar_depression=7.2407deg direction=morning
fajr,2023-05-20,04:46,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.939 at threshold=15.0 plateau=18.54 solar_depression=7.3489deg direction=morning
fajr,2023-05-21,04:42,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.998 at threshold=15.0 plateau=18.572 solar_depression=7.6084deg direction=morning
fajr,2023-05-22,04:41,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.921 at threshold=15.0 plateau=18.258 solar_depression=7.4812deg direction=morning
fajr,2023-05-23,04:39,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.932 at threshold=15.0 plateau=16.859 solar_depression=7.4969deg direction=morning
fajr,2023-05-24,04:40,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.922 at threshold=15.0 plateau=18.82 solar_depression=7.2143deg direction=morning
fajr,2023-05-25,04:38,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.927 at threshold=15.0 plateau=18.78 solar_depression=7.3207deg direction=morning
fajr,2023-05-26,04:37,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.934 at threshold=15.0 plateau=18.706 solar_depression=7.1945deg direction=morning
fajr,2023-05-27,04:36,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.903 at threshold=15.0 plateau=18.584 solar_depression=7.1565deg direction=morning
fajr,2023-05-28,04:34,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.944 at threshold=15.0 plateau=18.39 solar_depression=7.262deg direction=morning
fajr,2023-05-29,04:31,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.974 at threshold=15.0 plateau=18.578 solar_depression=7.4424deg direction=morning
fajr,2023-05-30,04:31,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.989 at threshold=15.0 plateau=18.468 solar_depression=7.3371deg direction=morning
fajr,2023-05-31,04:31,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.936 at threshold=15.0 plateau=18.544 solar_depression=7.2276deg direction=morning
fajr,2023-06-01,04:24,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.994 at threshold=15.0 plateau=18.239 solar_depression=7.761deg direction=morning
fajr,2023-06-02,04:24,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.986 at threshold=15.0 plateau=16.675 solar_depression=7.6644deg direction=morning
fajr,2023-06-03,04:27,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.99 at threshold=15.0 plateau=18.16 solar_depression=7.284deg direction=morning
fajr,2023-06-04,04:26,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.978 at threshold=15.0 plateau=18.016 solar_depression=7.262deg direction=morning
fajr,2023-06-05,04:25,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.908 at threshold=15.0 plateau=18.19 solar_depression=7.2462deg direction=morning
fajr,2023-06-06,04:23,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.938 at threshold=15.0 plateau=18.286 solar_depression=7.3616deg direction=morning
fajr,2023-06-07,04:22,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.977 at threshold=15.0 plateau=17.822 solar_depression=7.4143deg direction=morning
fajr,2023-06-08,04:21,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.919 at threshold=15.0 plateau=18.428 solar_depression=7.4081deg direction=morning
fajr,2023-06-09,04:21,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.93 at threshold=15.0 plateau=18.412 solar_depression=7.336deg direction=morning
fajr,2023-06-10,04:20,2.0,51.99009,4.37541,50.0,washetdonker.nl/Delft/Zuid-Holland/Netherlands,SQM MSAS=14.982 at threshold=15.0 plateau=18.354 solar_depression=7.4132deg direction=morning
