source,site,lat,lng,elevation_m,prayer,d0_angle,d0_std,n_nights,method,sky_quality,year_range
MJC South Africa standard,Johannesburg,-26.2,28.04,1753,fajr,18.0,,,standard,n/a,current
Herdiwijaya 2016+2020,"Kupang Amfoang, NTT",-9.6,123.95,1300,fajr,18.0,,83.0,SQM/photometer,pristine,2011-2018
Damanhuri & Mukarram LAPAN 2022,"Lombok, NTT",-8.56,116.1,25,fajr,16.51,,,SQM,rural,2018
Maskufa et al. 2024 Mazahib,"Labuan Bajo, Flores NTT",-8.5,119.89,10,fajr,19.3,,,SQM,pristine,2023
Setyanto et al. 2021 Al-Hilal,"Labuan Bajo, NTT",-8.39,119.68,10,fajr,19.13,,1.0,SQM,pristine,2018
Herdiwijaya 2014-2016,Yogyakarta,-7.87,110.42,100,fajr,17.0,0.7,136.0,photometer,suburban,2014-2016
Damanhuri & Mukarram LAPAN 2022,"Pasuruan, East Java",-7.64,112.9,4,fajr,16.51,,,SQM,suburban,2018
Damanhuri & Mukarram LAPAN 2022,"Garut, West Java",-7.21,107.9,717,fajr,16.51,,,SQM,rural,2018
Herdiwijaya 2016+2020,"Cimahi, West Java",-6.88,107.53,700,fajr,18.5,,,SQM,suburban,2011-2018
Damanhuri & Mukarram LAPAN 2022,"Sumedang, West Java",-6.86,107.92,556,fajr,16.51,,,SQM,rural,2018
Herdiwijaya 2016+2020,"Bosscha Observatory, Lembang",-6.83,107.61,1300,fajr,15.3,,83.0,photometer,rural,2011-2018
Setyanto et al. 2021 Al-Hilal,Bosscha Observatory,-6.83,107.61,1300,fajr,16.07,,1.0,SQM,rural,2015
Setyanto et al. 2021 Al-Hilal,Imahnoong Observatory,-6.83,107.62,2200,fajr,15.26,,1.0,SQM,rural,2018
Al-faruq 2013 UPI thesis,Bosscha Observatory (wet),-6.82,107.62,1300,fajr,15.0,,,photoelectric,rural,2012
Al-faruq 2013 UPI thesis,Bosscha Observatory (dry),-6.82,107.62,1300,fajr,16.0,,,photoelectric,rural,2012
Setyanto et al. 2021 Al-Hilal,"Sedan, Rembang",-6.76,111.59,30,fajr,17.64,,1.0,SQM,rural,2018
Saksono ISRN/UHAMKA,"Cirebon, West Java",-6.72,108.55,5,fajr,13.4,,,SQM,urban,2015
Noor & Hamdani 2018 QIJIS,"Tayu Beach, Pati, Central Java",-6.68,111.05,5,fajr,17.0,,4.0,photoelectric+SQM,rural,2016
Maskufa et al. 2024 Mazahib,"Bogor, West Java",-6.59,106.79,265,fajr,13.58,,,SQM,urban,2023
Saksono & Fulazzaky 2020 NRIAG,"Depok, West Java",-6.38,106.83,150,fajr,14.0,0.6,26.0,SQM,urban,2015
Setyanto et al. 2021 Al-Hilal,"Mombhul Beach, Gresik",-5.79,112.73,5,fajr,19.15,,1.0,SQM,pristine,2018
Hisbullah Salam 2022-2023 Walisongo,"Bulukumba, South Sulawesi",-5.56,120.18,10,fajr,18.24,,,SOOF+SQM,pristine,2022-2023
Hisbullah Salam 2022-2023 Walisongo,"Takalar, South Sulawesi",-5.43,119.43,10,fajr,17.0,,,SOOF+SQM,suburban,2022-2023
Saksono ISRN/UHAMKA,"Balikpapan, East Kalimantan",-1.27,116.83,10,fajr,13.4,,,SQM,urban,2015
Damanhuri & Mukarram LAPAN 2022,"Biak, Papua",-1.17,135.8,10,fajr,16.51,,,SQM,rural,2018
Saksono ISRN/UHAMKA,"Padang, West Sumatra",-0.9,100.35,5,fajr,13.4,,,SQM,urban,2015
Saksono ISRN/UHAMKA,"Manokwari, West Papua",-0.86,134.08,10,fajr,13.4,,,SQM,urban,2015
Saksono ISRN/UHAMKA,"Batusangkar, West Sumatra",-0.47,100.6,891,fajr,13.4,,,SQM,urban,2015
Damanhuri & Mukarram LAPAN 2022,"Agam, West Sumatra",-0.25,100.37,850,fajr,16.51,,,SQM,rural,2018
Damanhuri & Mukarram LAPAN 2022,"Pontianak, West Kalimantan",0.0,109.33,1,fajr,16.51,,,SQM,suburban,2018
Saksono ISRN/UHAMKA,"Bitung, North Sulawesi",1.44,125.19,20,fajr,13.4,,,SQM,urban,2015
Damanhuri & Mukarram LAPAN 2022,"Manado, North Sulawesi",1.49,124.85,80,fajr,16.51,,,SQM,suburban,2018
Abdel-Hadi & Hassan 2022 IJAA,"Teluk Kemang, N. Sembilan (Fajr)",2.46,101.87,27,fajr,14.19,0.52,,SQM,rural,2007-2008
Abdel-Hadi & Hassan 2022 IJAA,"Port Klang, Selangor (Fajr)",3.0,101.4,46,fajr,15.07,,,SQM,suburban,2007-2008
Pinem et al. 2024 JMEA,"Sri Mersing Beach, N. Sumatra",3.45,99.0,5,fajr,14.0,,,SQM,suburban,2022
Pinem et al. 2024 JMEA,"Pondok Permai Beach, N. Sumatra",3.46,99.0,5,fajr,15.0,,,SQM,rural,2022
